"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsWithContainers","length > 0",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","TestInfo Demo","","junit5.TestInfoDemo","test1","TEST 1",""
"skipped","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","这是MyFirstTestcase的测试类DisplayName","","junit5.MyFirstTestcase","testcase2","这是testcase2被禁用╯°□°）╯",""
"passed","Thu Jul 01 15:36:07 CST 2021","Thu Jul 01 15:36:08 CST 2021","1005","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromArray","8th dynamic test",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","onlyOnMacOs","onlyOnMacOs()",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","1","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicNodeSingleContainer","mom",""
"passed","Thu Jul 01 15:36:10 CST 2021","Thu Jul 01 15:36:10 CST 2021","0","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithArgumentsSource","[1] apple",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsWithContainers","not empty",""
"passed","Thu Jul 01 15:58:08 CST 2021","Thu Jul 01 15:58:09 CST 2021","1004","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromCollection","2nd dynamic test",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsWithContainers","not null",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","notOnWindows","notOnWindows()",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","这是MyFirstTestcase的测试类DisplayName","","junit5.MyFirstTestcase","testcase6","testcase6()",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","12","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithEnumSourceInclude","[1] SECONDS",""
"skipped","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","这是MyThirdNestedClass内嵌类的DisplayName","","junit5.NestedDemo$MyThirdNestedClass","thirdClassCase1","这是thirdClassCase1测试方法DisplayName",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithEnumSourceInclude","[2] HOURS",""
"passed","Thu Jul 01 15:47:19 CST 2021","Thu Jul 01 15:47:19 CST 2021","0","Default Suite","xunit","testng.AnnotationTest","testng.AnnotationTest","testDemo8","testDemo8",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[9] Weeks",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.OrderDemo","","junit5.OrderDemo","testcase1","[1] 徐一",""
